offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2043155617,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-dlugie-ogrody-50m2-mzn2043155617,2pok w centrum gotowe do zamieszkania BEZ PROWIZJI,699000.0,PLN,13933.0,50.17,2.0,Gdansk,Srodmiescie,Dlugie,54.35035155,18.6558259,,
mzn2045674471,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-aleja-grunwaldzka-48m2-mzn2045674471,"Idealna lokalizacja, możliwość aranżacji 3 pokoi",749000.0,PLN,15443.0,48.5,3.0,Gdansk,Wrzeszcz,Aleja,54.391633,18.5996092,,
mzn2045641868,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-aleja-grunwaldzka-48m2-mzn2045641868,"Idealna lokalizacja, możliwość aranżacji 3 pokoi",749000.0,PLN,15443.0,48.5,2.0,Gdansk,Wrzeszcz,Aleja,54.391633,18.5996092,,
mzn2044199285,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-kowalska-43m2-mzn2044199285,2 oddzielne pokoje z balkonem w centrum Gdańska,811000.0,PLN,18491.0,43.86,2.0,Gdansk,Srodmiescie,Kowalska,54.35035155,18.6558259,,
mzn2045787091,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-osowa-koziorozca-69m2-mzn2045787091,Mieszkanie z balkonem i windą w nowym budownictwie,896000.0,PLN,12931.0,69.29,3.0,Gdansk,Osowa,Koziorozca,54.41971985,18.473725299999998,,
mzn2045690849,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-starowiejska-51m2-mzn2045690849,2 pokoje z pięknym widokiem,1020000.0,PLN,19756.0,51.63,2.0,Gdansk,Letnica,Starowiejska,54.38985155,18.6498714,,
mzn2045853601,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-55m2-mzn2045853601,Top Apartament z logią przy samej Motławie,1700000.0,PLN,30664.0,55.44,3.0,Gdansk,Srodmiescie,Stepkarska,54.3571396,18.6632596,,
mzn2045354480,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-56m2-mzn2045354480,Wyspa Spichrzów apartament,1785015.0,PLN,31621.0,56.45,2.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2045354481,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-66m2-mzn2045354481,Wyspa Spichrzów apartament,1943515.0,PLN,29034.0,66.94,3.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2045853600,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-98m2-mzn2045853600,Apartament nad bulwarem przy samej Motławie,2509200.0,PLN,25500.0,98.4,4.0,Gdansk,Srodmiescie,Stepkarska,54.3571396,18.6632596,,
