source,offer_id,url,title,price_amount,price_currency,price_per_m2,city,district,street,lat,lon,area_m2,rooms,floor,floors,market_type,property_type,first_seen,last_seen
trojmiasto,ogl66263914,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-apartament-sopot-inwestycja-ogl66263914.html,,1100000,PLN,19097.22,Sopot,,,54.43856,18.56061,57.6,3,,,,,,
trojmiasto,ogl66261687,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokojowe-mieszkanie-w-gdansku-ul-n-ogl66261687.html,,699000,PLN,11051.38,Kowale,,,54.31283,18.59649,63.25,3,,,,,,
trojmiasto,ogl66260651,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokoje-po-remoncie-centrum-gdyni-ogl66260651.html,,895000,PLN,15431.03,Gdynia,,,54.51423,18.54028,58,3,,,,,,
trojmiasto,ogl66259592,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-ul-wybickiego-40m2-sopot-gorny-ogl66259592.html,,798900,PLN,19972.5,Sopot,,,54.43725,18.55753,40,2,,,,,,
trojmiasto,ogl66259214,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/gdynia-ul-morska-mieszknie-na-sprzedaz-ogl66259214.html,,410000,PLN,9557.11,Gdynia,,,54.53073,18.49709,42.9,2,,,,,,
trojmiasto,ogl66259078,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/sprzedaz-sopot-gorny-3-pokoje-ogl66259078.html,,925000,PLN,17129.63,Sopot,,,54.43914,18.54784,54,3,,,,,,
trojmiasto,ogl66258964,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-dwa-pokoje-po-remoncie-gdansk-oliwa-ogl66258964.html,,799000,PLN,18800,Sopot,,,54.40507,18.56391,42.5,2,,,,,,
trojmiasto,ogl66258850,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-gdynia-cisowa-ogl66258850.html,,380000,PLN,11581.83,Rumia,,,54.54909,18.43182,32.81,2,,,,,,
trojmiasto,ogl66257046,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/na-sprzedaz-przestronne-mieszkanie-z-duzym-ogrodem-ogl66257046.html,,815759,PLN,10050.01,Pruszcz Gdanski,,,54.2658,18.65726,81.17,4,,,,,,
trojmiasto,ogl66238819,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-gdynia-chylonia-ogl66238819.html,,399000,PLN,9068.18,Pogorze,,,54.54151,18.46139,44,2,,,,,,
