offer_id,source,url,price_amount,price_currency,price_per_m2,city,lat,lon,area_m2,rooms
ogl66197171,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-przestronne-mieszkanie-11037-m-ogl66197171.html,620000.0,PLN,5617.47,Rumia,54.57397,18.41504,110.37,3.0
ogl66186673,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/sprzedaz-mieszkania-centrum-wrzeszcza-ogl66186673.html,750000.0,PLN,11718.75,Gdansk,54.38181,18.60387,64.0,2.0
ogl66179824,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-ogl66179824.html,1299000.0,PLN,10560.98,Gdansk,54.38134,18.60411,123.0,4.0
ogl66173201,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/wyjatkowy-apartament-sopot-gorny-na-sprzedaz-ogl66173201.html,3950000.0,PLN,19063.71,Sopot,54.43725,18.55753,207.2,5.0
ogl66161841,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/mieszkanie-na-sprzedaz-nowy-swiat-ostoja-ogl66161841.html,549716.0,PLN,10600.0,Chwaszczyno,54.41464,18.4466,51.86,3.0
ogl66150487,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/wyjatkowa-oferta-4-pok-mieszkanie-na-sprzedaz-ogl66150487.html,900000.0,PLN,12500.0,Pruszcz Gdanski,54.26127,18.62516,72.0,4.0
ogl66136669,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-ogl66136669.html,645000.0,PLN,11099.64,Kowale,54.31799,18.56861,58.11,3.0
ogl66023360,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/ekskluzywny-apartament-na-sprzedaz-w-sercu-gdanska-ogl66023360.html,1125000.0,PLN,24801.59,Gdansk,54.36065,18.67277,45.36,2.0
ogl66093058,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/luksusowy-apartament-na-sprzedaz-willa-maria-ogl66093058.html,5950000.0,PLN,45281.58,Sopot,54.45423,18.55994,131.4,3.0
ogl66078573,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-w-sercu-gdanska-nad-mot-ogl66078573.html,595000.0,PLN,16301.37,Gdansk,54.34334,18.65888,36.5,2.0
