wejscie,miasto
krynica-zdroj,Krynica-Zdrój
krzeczyn maly,Krzeczyn Mały
krzeptow,Krzeptów
krzydlina mala,Krzydlina Mała
krzywin,Krzywiń
krzyz wielkopolski,Krzyż Wielkopolski
krzyzanowice,Krzyżanowice
krzyzanow,Krzyżanów
krolewiec,Królewiec
krapiel,Krąpiel
kraplewo,Krąplewo
krazkowy,Krążkowy
kreczki,Kręczki
krepsko,Krępsko
ksawerow,Ksawerów
ksiaz wielkopolski,Książ Wielkopolski
kudowa-zdroj,Kudowa-Zdrój
kurowice koscielne,Kurowice Kościelne
kurza gora,Kurza Góra
kurzetnik,Kurzętnik
kuznia raciborska,Kuźnia Raciborska
kuznica czeszycka,Kuźnica Czeszycka
kwasow,Kwasów
kornik,Kórnik
kakolewice,Kąkolewice
kakolewo,Kąkolewo
kapino,Kąpino
katy,Kąty
katy rybackie,Kąty Rybackie
katy wroclawskie,Kąty Wrocławskie
kedzierzyn-kozle,Kędzierzyn-Koźle
kepice,Kępice
kepnica,Kępnica
kepno,Kępno
kesowo,Kęsowo
keszyca lesna,Kęszyca Leśna
ketrzyn,Kętrzyn
kety,Kęty
klaj,Kłaj
klecko,Kłecko
klobuck,Kłobuck
kloda,Kłoda
klodawa,Kłodawa
klodzino,Kłodzino
klodzko,Kłodzko
klos,Kłos
laski koszalinskie,Laski Koszalińskie
lasowice male,Lasowice Małe
lednica gorna,Lednica Górna
leonow,Leonów
lesiecin,Lesięcin
leszno gorne,Leszno Górne
lewin klodzki,Lewin Kłodzki
lesmierz,Leśmierz
lesna,Leśna
lesnia,Leśnia
lesnice,Leśnice
lesniewo,Leśniewo
lezajsk,Leżajsk
libertow,Libertów
libiaz,Libiąż
lidzbark warminski,Lidzbark Warmiński
ligota piekna,Ligota Piękna
ligota proszkowska,Ligota Prószkowska
lipinki luzyckie,Lipinki Łużyckie
lisia gora,Lisia Góra
lisiecice,Lisięcice
lubaczow,Lubaczów
lubartow,Lubartów
luban,Lubań
lubiatow,Lubiatów
lubicz gorny,Lubicz Górny
lubiaz,Lubiąż
lublewo gdanskie,Lublewo Gdańskie
lubnow,Lubnów
lubon,Luboń
lubycza krolewska,Lubycza Królewska
ludwikowice klodzkie,Ludwikowice Kłodzkie
lusowko,Lusówko
lututow,Lututów
lwowek,Lwówek
lwowek slaski,Lwówek Śląski
ladek-zdroj,Lądek-Zdrój
lebork,Lębork
ledziny,Lędziny
makow mazowiecki,Maków Mazowiecki
makow podhalanski,Maków Podhalański
marciszow,Marciszów
marzecino,Marzęcino
maszewo leborskie,Maszewo Lęborskie
maslowo,Masłowo
maslow,Masłów
maslow pierwszy,Masłów Pierwszy
mala wies,Mała Wieś
malaszewicze,Małaszewicze
maldyty,Małdyty
male walichnowy,Małe Walichnowy
malkinia gorna,Małkinia Górna
malzewo,Małżewo
miasteczko slaskie,Miasteczko Śląskie
michalow,Michalów
michalowice,Michałowice
michalowo,Michałowo
michalow-grabina,Michałów-Grabina
miechow,Miechów
miedziana gora,Miedziana Góra
mielecin,Mielęcin
mierkow,Mierków
mieroszow,Mieroszów
mieszalki,Mieszałki
mietkow,Mietków
mietniow,Mietniów
mikolajki,Mikołajki
mikolow,Mikołów
mikowiec,Mikówiec
milanowek,Milanówek
mirkow,Mirków
mirostowice gorne,Mirostowice Górne
miroslawice,Mirosławice
miroslawiec,Mirosławiec
