Wejście,Nazwa w TERYT,Typ
Dębina,Dębina,
Dębki,Dębki,
Dęblin,Dęblin,
Dębnica Kaszubska,Dębnica Kaszubska,
Dębniki,Dębniki,
Dębno,Dębno,
Dębogórze,Dębogórze,
Dębowo,Dębowo,
Debrzno,Debrzno,
Delastowice,Delastowice,
Demlin,Demlin,
Deszczno,Deszczno,
Długa,Długa,
Długa Goślina,Długa Goślina,
Długa Kościelna,Długa Kościelna,
Długie Stare,Długie Stare,
Długołęka,Długołęka,
Długopole-Zdrój,Długopole-Zdrój,
Dłutów,Dłutów,
Dobczyce,Dobczyce,
Dobiegniew,Dobiegniew,
Dobieszewo,Dobieszewo,
Dobieszowice,Dobieszowice,
Dobra,Dobra,
Dobrcz,Dobrcz,
Dobre,Dobre,
Dobre Miasto,Dobre Miasto,
Dobroszyce,Dobroszyce,
Dobryszyce,Dobryszyce,
Dobrzany,Dobrzany,
Dobrzenice,Dobrzenice,
Dobrzeń Wielki,Dobrzeń Wielki,
Dobrzyca,Dobrzyca,
Dobrzykowice,Dobrzykowice,
Dobrzyniówka,Dobrzyniówka,
Dobrzyń nad Wisłą,Dobrzyń nad Wisłą,
Dołhobyczów,Dołhobyczów,
Dolice,Dolice,
Dolsk,Dolsk,
Dołuje,Dołuje,
Domanice,Domanice,
Domaszczyn,Domaszczyn,
Domaszowice,Domaszowice,
Dominów,Dominów,
Dominowo,Dominowo,
Domisław,Domisław,
Dopiewiec,Dopiewiec,
Dopiewo,Dopiewo,
Dragacz,Dragacz,
Drawiny,Drawiny,
Drawno,Drawno,
Drawsko Pomorskie,Drawsko Pomorskie,
Drewno,Drewno,
Drezdenko,Drezdenko,
Drobin,Drobin,
Drozdowo,Drozdowo,
Drzązgowo,Drzązgowo,
Drzewce,Drzewce,
Duchnice,Duchnice,
Dulsk,Dulsk,
Duninowo,Duninowo,
Dunowo,Dunowo,
Duszniki-Zdrój,Duszniki-Zdrój,
Dwikozy,Dwikozy,
Dworek,Dworek,
Dygowo,Dygowo,
Dyminek,Dyminek,
Dynów,Dynów,
Dywity,Dywity,
Działdowo,Działdowo,
Działoszyce,Działoszyce,
Działoszyn,Działoszyn,
Dziekanów Leśny,Dziekanów Leśny,
Dziekanów Polski,Dziekanów Polski,
Dziepółć,Dziepółć,
Dzierzążenko,Dzierzążenko,
Dzierżążno,Dzierżążno,
Dzierzbice,Dzierzbice,
Dzierzgoń,Dzierzgoń,
Dzierżoniów,Dzierżoniów,
Dziwiszów,Dziwiszów,
Dziwnów,Dziwnów,
Dziwnówek,Dziwnówek,
Dźwierzno,Dźwierzno,
Dźwierzuty,Dźwierzuty,
Dźwirzyno,Dźwirzyno,
Dzwonowo,Dzwonowo,
Elbląg,Elbląg,
Ełganowo,Ełganowo,
Ełk,Ełk,
Fabianki,Fabianki,
Fabryczna,Fabryczna,
Falenty,Falenty,
Falenty Duże,Falenty Duże,
Falenty Nowe,Falenty Nowe,
Falknowo,Falknowo,
Fałkowo,Fałkowo,
Francuska,Francuska,
Frednowy,Frednowy,
Frombork,Frombork,
Frysztak,Frysztak,
Gąbin,Gąbin,
Gacki,Gacki,
Gądki,Gądki,
Gądów,Gądów,
Gaj,Gaj,
Gajewko,Gajewko,
Gajewo,Gajewo,
Gajków,Gajków,
Gaj Wielki,Gaj Wielki,
Gałęzice,Gałęzice,
Garbów,Garbów,
Garby,Garby,
Gardeja,Gardeja,
Gardno,Gardno,
Garwolin,Garwolin,
Gąsawa,Gąsawa,
Gąsawy,Gąsawy,
Gąski,Gąski,
Gaworzyce,Gaworzyce,
Gdańsk,Gdańsk,
Gdów,Gdów,
Gdynia,Gdynia,
Gęsia,Gęsia,
Giżyce,Giżyce,
Giżycko,Giżycko,
Glincz,Glincz,
Glinojeck,Glinojeck,
Gliwice,Gliwice,
Głodowo,Głodowo,
Głogów,Głogów,
Głogówek,Głogówek,
Głogów Małopolski,Głogów Małopolski,
Głogowo,Głogowo,
Głosków,Głosków,
Główczyce,Główczyce,
Głowno,Głowno,
Głubczyce,Głubczyce,
Głuchołazy,Głuchołazy,
Głuszyca,Głuszyca,
Głuszyca Górna,Głuszyca Górna,
Głuszyno,Głuszyno,
Gniechowice,Gniechowice,
Gniew,Gniew,
Gniewino,Gniewino,
Gniewkowo,Gniewkowo,
Gniezno,Gniezno,
Gnojno,Gnojno,
Goczałków,Goczałków,
Goczałkowice-Zdrój,Goczałkowice-Zdrój,
Gogolewo,Gogolewo,
Gogolin,Gogolin,
Gola,Gola,
Gołańcz,Gołańcz,
Gołaszyn,Gołaszyn,
Golczewo,Golczewo,
Gołdap,Gołdap,
Golenice,Golenice,
Goleniów,Goleniów,
Golub-Dobrzyń,Golub-Dobrzyń,
Góra,Góra,
Góra Kalwaria,Góra Kalwaria,
Góra Motyczna,Góra Motyczna,
Góra Ropczycka,Góra Ropczycka,
Góraszka,Góraszka,
Górażdże,Górażdże,
Górki,Górki,
Górki-Izabelin,Górki-Izabelin,
Górki Noteckie,Górki Noteckie,
Gorlice,Gorlice,
Górna,Górna,
Górno,Górno,
Górowo Iławeckie,Górowo Iławeckie,
Gorzanów,Gorzanów,
Górzec,Górzec,
